Concern,Status,Stage,Also called,Trigger,Consultative,Fact sheet url,Our documentation doc,What does it support,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related planning considerations,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number,specification-url
Millennium greens,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,,Areas of green space for the benefit of local communities created to celebrate the millennium,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Mine entry,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,,The entrances into a mine,,,,,,,,,,Coal Authority,,,,,,,,,,,,,,
Mineral assessment reports,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Mineral safeguarding areas,Backlog,Backlog,,,,,,TBC,,,,,✓,,,,,,,,,,,,Areas where known deposits of minerals are safeguarded,,,✓,,,,,,,"Mineral Planning Authority (e.g. County, Unitary or National Park Authority)",,,,,,,,,,,,,,
Minerals and waste plan,Backlog,Backlog,,,,,,TBC,,,,,✓,,,,,,,,,,,,Locations for future minerals extraction (such as sand and gravel pits or crushed rock quarries) and for the development of waste management facilities (such as recycling centres),,,✓,,,✓,,Yes,,"Mineral and Waste  Planning Authority (e.g. County, Unitary or National Park Authority)",,,,,,,,,,,,,,
Mining and ground stability,Backlog,Backlog,,,,,,TBC,,,,,,✓,,,,,,,,,,✓,Potential ground stability hazards from mining activities ,,,✓,,,,,,,,,,,,,,https://www.gov.uk/guidance/using-coal-mining-information,,,,Development consent orders (NSIP),,,
MORECS,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,,Evaporation and soil moisture deficit for the UK (Meteorological Office rainfall and evaporation calculation system),,,,,,,,,,Met Office,,,,,,,,,,,,,,
Multibeam bathymetry,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,,High resolution elevation information of underwater terrain,,,,,,,,,,Environment Agency,,,,,,,,,,,,,,
National character areas,Backlog,Backlog,,,,,,TBC,,,,,,,,,,,,,,,,,Geographically unique areas of the UK,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
National chargepoint register,Backlog,Backlog,,,,,,TBC,,,,,,,,,,,,,,,,,Database of public electric vehicle chargepoints  in the UK,,,✓,✓,✓,,,,,Office for Low Emission Vehicles,,,,,,,,,,,,,,
National coach services,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,✓,Timetable data for several mainland UK coach services not contained in the Traveline national dataset (TNDS),,,,,,,,,,Department for Transport,,,,,,,https://data.gov.uk/dataset/3a3b32f3-d727-4623-aa17-daa2f39aaf92/national-coach-services-ncsd,,,,,,,
National cycle network,Backlog,Backlog,,,,,,TBC,,,,,,,,,,,,✓,,,,,"The UK-wide network of signed paths and routes for walking, wheeling, and cycling outdoors",,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,,
National flood and coastal erosion risk management strategy,Backlog,Backlog,,,,,,TBC,,,,,,,,,,,,✓,,,,,Strategy for flooding and coastal change resilience,,,✓,,,✓,,,,Environment Agency,,,,,,,,,,,Environmental planning assessment,,,
National forest inventory,Backlog,Backlog,,,,,,TBC,,,,,,,,,,,,,,,,✓,A programme that monitors woodland and trees in Great Britain,,,✓,,,,,,,,,,,,,,http://data-forestry.opendata.arcgis.com/datasets/295e0278dc2641e2935c411d28908be9_0,,,,,,,
National grid cables,Backlog,Backlog,,,,,,TBC,,,,,,✓,,,,,,,,,,✓,Locations of national electricity transmission network cables,,,✓,,,,,,,National Grid,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,,
National grid overhead lines,Backlog,Backlog,,,,,,TBC,,,,,,✓,,,,,,,,,,✓,Electrical cables that transmit electricity across the country,,,✓,,,,,,,National Grid,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,,
National grid substation sites,Backlog,Backlog,,,,,,TBC,,,,,,✓,,,,,,,,,,✓,Locations of national electricity transmission substations,,,✓,,,,,,,National Grid,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,,
National grid towers,Backlog,Backlog,,,,,,TBC,,,,,,✓,,,,,,,,,,✓,"Structural supports, known as pylons, that carry the UK’s network of high-voltage overhead power lines ",,,✓,,,,,,,National Grid,,,,,,,https://www.nationalgridet.com/network-and-assets/network-route-maps,,,,Development consent orders (NSIP),,,
National landslide database,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,,Databse of reported landslide events,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
National nature reserves,On the platform,On the platform,,,,https://docs.google.com/document/d/1ULS_aunj8r-Iv5kZ5IelEM_wBGxfS98bKXn4X7hvXkg/edit#heading=h.lb9do641w06g,,TBC,,✓,,,,✓,,,,,,,,,,✓,"Areas where wildlife, plants and animals are protected to allow them to thrive",,,✓,,,,,,,Natural England,,,,,,,https://data.gov.uk/dataset/726484b0-d14e-44a3-9621-29e79fc47bfc/national-nature-reserves-england,,,,Development consent orders (NSIP),,48,
National parks and the broads,On the platform,On the platform,Protected sites,,,,,TBC,,✓,,,✓,✓,,,,✓,,,,,,✓,A large area of land protected by law for the benefit of the nation,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,,
National Public Transport Access Nodes (NaPTAN),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,All public transport access points where you can get on or off public transport,,,✓,,,,,,,Department for Transport,,,,,,,,,,,,,,
National Trust land,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Land that is enclosed as part of a National Trust estate and public access is limited,,,✓,,,,,,,National Trust,,,,,,,,,,,,,,
National Trust land – always open,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,National Trust land that the public has access to on foot only,,,✓,,,,,,,National Trust,,,,,,,,,,,,,,
Nationally Significant Infrastructure Projects (NSIP),Piloting,On the platform,,,,,,,,,,,,✓,,,,,,,,,,,"Major infrastructure projects such as new harbours, roads, power generating stations (including offshore wind farms) and electricity transmission lines, which require a type of consent known as ‘development consent’",,,✓,,,✓,✓,,PINs,The Planning Inspectorate,,Single,Small,,DCOs,,,,,,,,,https://digital-land.github.io/specification/specification/infrastructure-project/
Nature improvement areas,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,Areas of the country where partnerships have been set up to enhance the natural environment,,,✓,,,,,,,Natural England,,,,,,,https://data.gov.uk/dataset/a19c95e3-9657-457d-825e-3d2f3993b653/nature-improvement-areas,,,,Development consent orders (NSIP),,,
Nearby railway schemes,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Nearby road schemes,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Neighbourhood plans,Prioritised backlog,Backlog,Faster local plans,,,,,Faster local plans,,,,,✓,,,,,,,,,,,,"A plan prepared by a parish council or neighbourhood forum for a designated neighbourhood area, giving communities direct power to shape the development and growth of their local area",,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,21,37,
NHS trusts,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,An organisational unit within the NHS that serves either a geographical area or a specialised function (such as an ambulance service),,,✓,,,,,,,NHS,,,,,,,,,,,,,,
Noise abatement,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,A set of strategies designed to reduce noise pollution,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Noise action important areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,A framework to manage environmental noise and to protect quiet areas in large urban areas,,,✓,,,,,,,DEFRA,,,,,,,,,,,Environmental planning assessment,,,
Non designated and locally listed historic assets,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Non designated heritage asset,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,"Buildings, monuments, sites, places, areas or landscapes identified by planmaking bodies as having a degree of heritage significance needing consideration in planning decisions, but which do not meet the criteria for designated heritage assets",,,✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
"Notices, Orders, Directions under Planning Acts",Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Nuclear Consultation Zone,Backlog,Backlog,Nuclear safety zones,,,,,,,,,,✓,,,,,,,,,,,,Consultation zones to limit the radiological consequences to members of the public in the event of a radiation emergency ,,,✓,,,,,,,Office of Nuclear Regulation,,,,,,,,,,,Local plans,,,
Nuclear power stations,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Power plants that use the process of nuclear fission to generate electricity,,,✓,,,,,,,EDF energy,,,,,,,,,,,,,,
Nuclear safety zones,Backlog,Archived,Nuclear zones,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,
Open green space,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,Places that are intentionally not developed,,,✓,,,,,,,Local planning authorities,,,,,,,https://www.ordnancesurvey.co.uk/business-government/products/open-map-greenspace,,,,,,,
Open roads,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,"High-level view of the road network, from motorways to country lanes",,,✓,,,,,,,,,,,,,,https://www.ordnancesurvey.co.uk/business-government/products/open-map-roads,,,,,,,
Opencast coal prospecting areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas of opencast coal prospecting sites.,,,✓,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Outstanding notices,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Parish,On the platform,On the platform,,,,,,,,,,,,✓,,,,,,,,,,✓,The smallest type of local government administrative area in England,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Medium,,,,,,,,Development consent orders (NSIP),20,38,
Parliamentary constituencies,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,Specific geographical areas that are represented by each MP in the House of Commons,,,✓,,,,,,,,,,,,,,https://beta.ordnancesurvey.co.uk/products/boundary-line,,,,,,,
Permitted development rights,On the platform,On the platform,,,,,,Modern planning software,,✓,,,✓,,,,,,,,,,,,The right to carry out certain building works and changes of use without the need for a full planning application,Development Management,https://www.legislation.gov.uk/uksi/2015/596/schedule/2,✓,,,,✓,,,DLUHC,Digital Land,Single,Small,Ad-hoc,Article 4 Direction;Site allocations;Planning conditions (Article 3 directions);Planning applications,,,,,,Open planning software;Local planning authorities,14,39,
Planning application consultations,Backlog,Backlog,,,,,,,,✓,,,,,,,,,,,,,,,The period of consultation where views on the proposed development can be communicated,Development Management,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Planning application variance,Backlog,Backlog,Section73,,,,,,,✓,,,,,,,,,,,,,,,Options for amending proposals that have planning permission,,,✓,,,✓,✓,,,Local planning authorities,,,,,,,,,,,,,,
Planning applications & decisions,In development,Test and iterate,,,,,,Modern planning software,,✓,,,,✓,,,,,,,,,,,Records of applications for development and the associated decisions,Development Management,,✓,,,✓,✓,Yes,,Local planning authorities;Planning inspectorate,,,,Daily,Planning conditions (Article 3 directions),,,,,,Open planning software;Development consent orders (NSIP),,25,
Planning conditions,In development,Co-design,,,,,,Modern planning software,High,✓,,,,,,,,,,,,,,,Conditions attached to the granting of planning permission to ensure that the development can take place where otherwise it would have been necessary to refuse planning permission,Development Management,,✓,,,✓,✓,Yes,,Local planning authorities,,,,,Planning applications & decisions;Permitted development rights,,,,,,Open planning software;Local planning authorities,4,40,https://digital-land.github.io/specification/specification/planning-condition/
Play spaces,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,"Children's play provision, including local areas for play (LAP), locally equiped areas for play (LEAP), and neighbourhood equipped area of play (NEAP).",,,✓,,,,,,,Local planning authorities,,,,,,,,,,,Environmental planning assessment,,,
Playing fields,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,Land in the open air provided for physical education or recreation,,,✓,,,,,,,Local planning authorities,,,,,,,,,,,Environmental planning assessment,,,
Police stations,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,The local headquarters of the police,,,✓,,,,,,,,,,,,,,,,,,,,,
Pollinator corridors,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"A corridor of native plants that connects different areas of habitat, providing nutrition and homes for pollinators",,,✓,,,,,,,Biological Record Centres,,,,,,,,,,,,,,
Ports,Backlog,Backlog,Ferry exchanges,,,,,,,,,,,,,,,,,,,,,,"A maritime facility comprising one or more wharves or loading areas, where ships load and discharge cargo and passengers.",,,✓,,,,,,,Department for Transport,,,,,,,,,,,,,,
Postcodes,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,A series of letters and numbers designated to an address for sorting mail,,,✓,,,,,,,,,,,,,,https://beta.ordnancesurvey.co.uk/products/code-point-open,,,,,,,
Previously listed buildings,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Listed buildings that have been de-listed,,,✓,,,✓,,,,Historic England,,Single,Small,,,,,,,,,,,
Price paid data,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,Information on all property sales in England and Wales that are sold for value,,,,,,,,,,,,,,,,,https://www.gov.uk/government/collections/uk-house-price-index-reports#about-the-uk-hpi,,,,,,,
Primary healthcare,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Primary care services provide the first point of contact in the healthcare system, including GPs, pharmacies, dentists, and optometrists",,,✓,,,,,,,"NHS, ICB",,,,,,,,,,,,,,
Primary schools,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Primary education typically cover those aged between 4 and 11.,,,✓,,,,,,,"Education Authority (e.g. County, Unitary)",,,,,,,,,,,,,,
Priority habitat inventory,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Geographic extent and location of habitats of principal importance,,,✓,,✓,,,,,Natural England,,,,,,,,,,,,,,
Priority habitats,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"The UK Biodiversity Action Plan (UK BAP) refers to a number of priority habitats, including terrestrial, freshwater and marine habitats. Each priority habitat has a corresponding Habitat Action Plan (HAP)",,,✓,,,,,,,,,,,,,,,,,,,,,
Priority river habitat - headwater areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,River and stream sources that exhibit a high degree of naturalness,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Priority river habitat - rivers,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Rivers and streams that exhibit a high degree of naturalness,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Probable coal mining,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Locations and estimated extents of probable shallow coal mines for which no recorded plan exists,,,,,,,,,,Coal Authority,,,,,,,,,,,,,,
Proposed ramsar sites,Backlog,Backlog,Protected sites,,,,,,,,,,✓,,,,,,,,,,,,Proposed boundaries of wetlands of international importance,,,✓,,,,,,,,,,,,,,,,,,,,,
Protected land,Backlog,Backlog,Protected sites,,,,,,,,,,,✓,,,,,,,,,,,Sites with special status as protected areas because of their natural and cultural importance,,,✓,,,,,,,,,,,,,,,,,,Development consent orders (NSIP),,,
Protected rural landscapes,Backlog,Backlog,Historic rural landscapes,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,,,,,,Historic England,,,,,,,,,,,,,,
Protected sites (statutory sites),Backlog,Archived,Protected land;SAC;SPA;Ramsar;Proposed Ramsar;SSSI;Marine Conservation Area;Local Nature Reserve;Local Wildlife SIte;National Parks and the Broads;AONB;Heritage Coast,,,,,,,,,,,,,,,,,,,,,,Sites that have protection through legislation in recognition of biodiversity and geological value,,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,,
Protected species,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Threatened, vulnerable or endangered species which are protected from extinction",,,✓,,,,,,,Biological Record Centres,,,,,,,,,,,,,,
Protected views,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,Legal requirement to preserve the view of a specific place or historic building from another location,,The Town and Country Planning (General Permitted Development) (England) (Amendment) (No. 2) Order 2020,✓,,,,,,,"GLA, Local Planning Authorities",,,,,,,,,,,,,,
Protected wreck sites,On the platform,On the platform,,,,,,,,,,,✓,,,,,,,✓,,,,,The restricted area around the wreck of a nationally important vessel to prevent any interference,,,✓,,,,,,,Historic England,Historic England,Single,Small,,,,,,,,Environmental planning assessment,,,
Public health service delivery performance,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,,,,,,,,,,,,,,
Public paths byways,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Tracks and paths open to the public,,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Public Rights of Way (PRoW),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Specific routes the public have a legal right to use across land that may be owned by a private individual ,,Countryside and Rights of Way Act 2000,✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Public safety zone around airport,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,End of runway areas where development is restricted for public safety,,,✓,,,,,,,"Civil Aviation Authority, Local planning authorities",,,,,,,,,,,,,,
Public Transport Accessibility Levels (PTAL),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"A detailed and accurate measure of the accessibility of a point to the public transport network, taking into account walk access time and service availability",,,✓,,✓,,,,,Transport for London,,,,,,,,,,,Barnet council,,,
Public transport timetables,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,Information on timings of all forms of public transport,,,,,,,,,,,,,,,,,https://data.gov.uk/dataset/0447f8d9-8f1b-4a68-bbc8-246981d02256/traveline-national-dataset,,,,,,,
Radon,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,A naturally occurring radioactive gas which may be found in high concentrations in indoor environments,,,✓,,,✓,,,,British Geological Survey,,,,,,,https://www.bgs.ac.uk/datasets/radon-data-indicative-atlas-of-radon/,https://www.bgs.ac.uk/download/radon-potential-indicative-atlas-data-for-great-britain/#,,,Development consent orders (NSIP),,,
Railway tracks,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,The structures that trains run on,,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,,
Rainfall data,Archived,Archived,,,,,,,,,,,,✓,,,,,,,,,,✓,Rainfall measurements across the UK,,,✓,,✓,,,,,Environment Agency,,,,,,,https://environment.data.gov.uk/flood-monitoring/doc/rainfall,,,,Development consent orders (NSIP),,,
Ramsar,On the platform,On the platform,Protected sites,,,,,,,✓,,,✓,✓,,,,✓,,,,,,✓,An area of wetlands that is of international importance ,,,✓,,,,,,,Natural England,Natural England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,18,41,
Recorded flood outlines,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Records of historic flooding from rivers, the sea, groundwater and surface water",,,,,,,,,,Environment Agency,,,,,,,,,,,,,,
Regional flood and coastal committees,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Boundaries of the regional flood and coastal committees in England,,,,,,,,,,Environment Agency,,,,,,,,,,,,,,
Regionally important geological site,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Regionally important geological sites (RIGS) are the most important designated sites for geology and geomorphology, representing educational, historical and recreational resources. In London, RIGS sites should be protected as set out in Policy G9 of the London Plan",,,✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Religious buildings,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,Structures created for worship,,,✓,,,,,,,Ordnance Survey,,,,,,,,,,,Environmental planning assessment,,,
Renewable energy planning database (REPD),Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Progress tracking of UK renewable electricity projects over 150kW,,,,,,,,,,BEIS,,,,,,,,,,,,,,
Reservoirs,Backlog,Backlog,Watercourses,,,,,,,,,,,,,,,,,,,,,,Artificial lakes where water is collected and stored,,,✓,,,,,,,Canal and Riover Trust,,,,,,,,,,,,,,
Retail opportunity areas,Archived,Archived,,,,,,,,,,,✓,,,,,,,,,,,,Appropriate areas for improvement for retail and regeneration ,,,✓,,,✓,,,,,,,,,,,,,,,,,,
Risk of flooding from rivers and seas – postcodes,Archived,Archived,,,,,,,,,,,,✓,,,,,,,,,,✓,Postcodes where there is a chance of flooding from rivers and/or the sea,,,✓,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/risk-of-flooding-from-rivers-and-sea-postcodes-in-areas-at-risk,,,,Development consent orders (NSIP),,,
Risk of flooding from rivers and seas – properties,Archived,Archived,,,,,,,,,,,,✓,,,,,,,,,,✓,Properties where there is a chance of flooding from rivers and/or the sea,,,✓,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/risk-of-flooding-from-rivers-and-sea-properties-in-areas-at-risk,,,,Development consent orders (NSIP),,,
Risk of flooding from surface water,Archived,Archived,,,,,,,,,,,,✓,,,,,,,,,,✓,Areas where there is risk of flooding from excessive rainfall,,,✓,,,,,,,,,,,,,,https://data.gov.uk/dataset/95ea1c96-f3dd-4f92-b41f-ef21603a2802/risk-of-flooding-from-surface-water-extent-3-3-percent-annual-chance,,,,Development consent orders (NSIP),,,
River basin districts,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Areas of land and sea, made up of one or more neighbouring river basins together with their associated groundwaters and coastal waters",,,✓,,,,,,,Environment Agency,,,,,,,,,,,,,,
River corridor features,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Habitats, flow types and physical features of a watercourse",,,,,,,,,,Biological Record Centres,,,,,,,,,,,,,,
Road classification,Backlog,Screen,Classified roads,,,https://docs.google.com/document/d/199-f6cigd4WcQm2jFDlb7qt3HrriLPkvY95qNzbQ-34/edit#heading=h.lb9do641w06g,,,,✓,,,,,,,,,,,,,,,"The system of roads classification that all UK roads (excluding motorways) fall into - A roads, B roads, classified unnumbered, unclassified",,,✓,,✓,,,,,,,,,,,,,,,,,,,
"Roadways, footways and footpaths",Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Rocky shores,Archived,Archived,,,,,,,,,,,,,,,✓,,,,,,,,Seacoasts where solid rock predominates,,,,,,,,,,,,,,,,,,,,,,,,
Safeguarded aerodromes,Backlog,Archived,Safeguarded military explosives site,,,,,,,,,,✓,,,,,,,,,,,,"Areas designed to protect aircraft from obstacles when manoeuvring on the ground, taking off, landing or flying in the vicinity of the aerodrome",,,✓,,,,,,,,,,,,,,,,,,,,,
Safeguarded land,Backlog,Screen,,,,https://docs.google.com/document/d/1BrSkKUzocPAV1OlMkZC0kwIgKWg2W5vq22i4vjN38T0/edit#heading=h.lb9do641w06g,,,,✓,,,,,,,,,,,,,,,A planning mechanism to make sure land which has been identified for development in the future is protected from conflicting development,,,✓,,,,,,,,,,,,,,,,,,,,,
Safeguarded wharves,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,Wharves in London which have been given special status to ensure they are retained as working wharves and are protected from redevelopment,,,✓,,,,,,,,,,,,,,,,,,,,,
"Safeguarding aerodromes, technical sites and military explosives storage areas",Backlog,Backlog,Safeguarded aerodromes,,,,,,,,,,✓,,,,,,,,,,,,"Areas which are safeguarded specifically for aerodromes, technical sites and military explosives storage.",,,✓,,,,,,,Civil Aviation Authority,,,,,,,,,,,,,,
Safety hazard areas,Backlog,Archived,Health and Safety Executive Consultation (HSE) Zones,,,https://docs.google.com/document/d/1YgFbQ_-ye98hrGYQg9j5HXtPeVrr8Zcx_08NHAlWe6c/edit,,,,✓,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,51,
Scheduled monuments,On the platform,On the platform,,,,,,,,✓,,,✓,✓,,,,✓,,,,,,✓,A site that's legally protected because of its historical importance,,,✓,,,,,,,Historic England,Historic England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,,
School catchment areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Geographical area surrounding a school from which it will usually take most of its pupils,,,✓,,,,,Yes,,Education Authorities (e.g. Counties / Unitary),,,,,,,,,,,,,,
Seabird nesting counts,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Counts of breeding seabirds,,,✓,,,,,,,Joint Nature Conservation Committee,,,,,,,,,,,,,,
Secondary healthcare,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Secondary healthcare includes facilities where patients have been referred, such as hospitals, mental health services, community health facilities and sexual health services",,,✓,,,,,,,"NHS, ICB",,,,,,,,,,,,,,
Secondary schools,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Secondary education for children from 11 to 16,,,✓,,,,,,,Education Authorities (e.g. Counties / Unitary),,,,,,,,,,,,,,
Section 73,Backlog,Archived,Planning application variance,,,,,,,✓,,,,,,,,,,,,,,,Applications for planning permission to develop land without complying with previously imposed planning conditions,,,,,,,,,,,,,,,,,,,,,,,,
Self and custom build area,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Plots for custom and self-build homes,,,✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Sensitive areas - nitrates,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas designated as being at risk from agricultural nitrate pollution,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Shallow coal mine workings,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Shallow coal mine workings are derived from the Coal Authority’s records of underground coal mine workings,,,,,,,,,,Coal Authority,,,,,,,,,,,,,,
Shellfish waters,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas designated for the protection of shellfish growth and production,,,✓,,,,,,,"Centre for Environment, Fisheries and Aquaculture Science",,,,,,,,,,,,,,
Site allocations,Backlog,Co-design,,,,,,Faster local plans;Modern planning software,,,,,✓,,,,,,,,,,,,"Areas identified as sites for housing, employment, retail or green space to be developed in the future",,,✓,,✓,✓,,Yes,,Local planning authorities,,,,,,,,,,,,7,42,
Sites of importance for nature conservation,Next,Backlog,,,,https://docs.google.com/document/d/1VbAfgd7dFrODkCpFEKFLAgAUfeodNTqEiDt1rL3cOO4/edit#heading=h.9rwg3m580tpf,,,Medium,✓,,,,,,,,,,✓,,,,,Defined areas identified and selected for their nature conservation value,,,✓,,,,,,,Local planning authorities,,,,,,,,,,,Environmental planning assessment,,,
Sites of special scientific interest,On the platform,On the platform,Protected sites,,,,,,,✓,,,✓,✓,,,,✓,,,,,,✓,A protected area that’s of particular interest to science due to rare species of fauna or flora or important geological or physiological features,,,✓,,,,,,The Wildlife Trust,Local planning authorities,Natural England,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,,
Smoke control area,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Areas where:
- you cannot release smoke from a chimney
- you can only burn authorised fuel, unless you use an appliance approved by Defra",,,✓,,,,,,,DEFRA,,,,,,,https://uk-air.defra.gov.uk/data/sca/,,,,,,,
