name,description,synonyms,github-discussion-number,stage,public,expected-number-of-records,frequency-of-updates,prioritised,datasets,specification,useful-links,legislation,slug,blocked-reason,os-declaration,tags
Highway network,,,,Archived,True,,,False,,,,,highway-network,,,
Houses in multiple occupation,A property rented out by at least 3 people who are not from one 'household' (for example a family) but share facilities like the bathroom and kitchen,,,Archived,True,,,False,,,,,houses-in-multiple-occupation,,,local land charge
Energy and renewable statistics,,,154,Backlog,True,,,False,,,,,energy-and-renewable-statistics,,,energy;infrastructure;statistics
Hospital performance,Measures of hospital performance on a national level,,,Archived,True,,,False,,,,,hospital-performance,,,
Hydrogeological maps,Maps that bring basic geological information together with data on the hydraulic and hydrochemical characteristics of rocks and their usefulness for groundwater supply,,,Archived,True,,,False,,,,,hydrogeological-maps,,,
Inner urban improvement area,,,,Archived,True,,,False,,,,,inner-urban-improvement-area,,,
Key business areas,,,,Archived,True,,,False,,,,,key-business-areas,,,
Main rivers,Designated larger rivers and streams,Watercourses;rivers,70,Co-design,True,,Every 6 months,False,https://github.com/digital-land/specification/blob/main/content/dataset/main-river.md?plain=1,,"[{'link_url': 'https://www.ordnancesurvey.co.uk/business-government/products/open-map-rivers', 'link_text': 'National dataset documentation page'}]",,main-rivers,,,controlled waters;environmental;infrastructure
Great crested newt strategic opportunity areas,Areas where new ponds would benefit great crested newt (GCN) populations,,307,Backlog,True,,,False,,,,,great-crested-newt-strategic-opportunity-areas,,,environmental
Proposed ramsar sites,Proposed boundaries of wetlands of international importance,Protected sites;pRamsar;Ramsar,234,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/proposed-ramsar-site.md?plain=1,,,https://assets.publishing.service.gov.uk/media/67aafe8f3b41f783cca46251/NPPF_December_2024.pdf,proposed-ramsar-sites,,,bng;constraint;environmental;footnote 7;local plan
Land ownership boundary,The rough boundary of a property,Land registry polygons;Red line boundaries,,Archived,True,,,False,,,,,land-ownership-boundary,,,
Hospitals,Building where medical and surgical treatment and nursing care for sick or injured people is provided,,,Archived,True,,,False,,,,,hospitals,,,
Locally listed areas,To protect locally important historic places and spaces,,,Archived,True,,,False,,,,,locally-listed-areas,,,
Statement of community involvement (sci),"A ""Statement of Community Involvement"" (SCI) is a document issued by a local council that outlines how they will engage with the community when making planning decisions, explaining the methods they will use to consult residents and other stakeholders during the development of planning policies and when considering individual planning applications.",SCI,278,Research,True,,,False,,,,,statement-of-community-involvement,,,planning permission
LiDAR composite DSM - 2m,,,,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dsm-2017-2m', 'link_text': 'National dataset documentation page'}]",,lidar-composite-dsm-2m,,,
LiDAR composite DTM - 1m,,,,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dtm-2017-1m', 'link_text': 'National dataset documentation page'}]",,lidar-composite-dtm-1m,,,
LiDAR composite DTM - 25cm,,,,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dtm-2017-25cm', 'link_text': 'National dataset documentation page'}]",,lidar-composite-dtm-25cm,,,
Bgs soil chemistry for environmental assessments,"Identification of potentially harmful elements (PHEs) that under certain circumstances can be harmful to plants, animals or people",,117,Backlog,True,,,False,,,,,bgs-soil-chemistry-for-environmental-assessments,,,constraint;development risk
Historical mineral planning permissions,"Boundaries for permitted, withdrawn and refused mineral planning permissions for England and Wales",,181,Backlog,True,,,False,,,,,historical-mineral-planning-permissions,,,constraint;development risk;environmental
Major railway improvement schemes,,,,Archived,True,,,False,,,,,major-railway-improvement-schemes,,,
Local validation checklist,,Local area requirements,52,Archived,True,,,False,,,,,local-validation-checklist,,,
National underground asset register,"The Geospatial Commission, part of the Department for Science, Innovation and Technology, is building a digital map of underground pipes and cables that will revolutionise the way we install, maintain, operate and repair our buried infrastructure - the National Underground Asset Register (NUAR).",NUAR,279,Backlog,True,,,False,,,,,national-underground-asset-register,The NUAR is available via a portal for those involved in 'digging' to refer to. DSIT are keen for 'planning' to be a use case to consider wider applications for the NUAR and are looking at running a discovery in 2025. ,,development risk;infrastructure
Millennium greens,Areas of green space for the benefit of local communities created to celebrate the millennium,,,Archived,True,,,False,,,,,millennium-greens,,,
Mineral assessment reports,,,,Archived,True,,,False,,,,,mineral-assessment-reports,,,
MORECS,Evaporation and soil moisture deficit for the UK (Meteorological Office rainfall and evaporation calculation system),,,Archived,True,,,False,,,,,morecs,,,
Multibeam bathymetry,High resolution elevation information of underwater terrain,,,Archived,True,,,False,,,,,multibeam-bathymetry,,,
Water resource management plan,Water Resource Management Plans (WRMPs) set out how water companies intend to achieve a secure supply of water for their customers while protecting and enhancing the environment.,WRMPs,282,Backlog,True,,,False,,,,,water-resource-management-plan,,,controlled waters;nist
Supply-demand balance (water),"A ""water supply-demand balance"" refers to the equilibrium between the amount of available water supply and the amount of water demanded by users, essentially signifying whether there is enough water to meet current needs.",,283,Backlog,True,,,False,,,,,supply-demand-balance,,,controlled waters;infrastructure;nist
National coach services,Timetable data for several mainland UK coach services not contained in the Traveline national dataset (TNDS),,,Archived,True,,,False,,,"[{'link_url': 'https://data.gov.uk/dataset/3a3b32f3-d727-4623-aa17-daa2f39aaf92/national-coach-services-ncsd', 'link_text': 'National dataset documentation page'}]",,national-coach-services,,,
Nearby road schemes,,,,Archived,True,,,False,,,,,nearby-road-schemes,,,
Integrated care board (icb),"Partnerships between the NHS, councils and the voluntary sector to improve health and care services",,187,Backlog,True,,,False,,,,,integrated-care-board,,,boundary;health
National character areas,Geographically unique areas of the UK,,213,Backlog,True,,,False,,,,,national-character-areas,,,bng;local plan
National flood and coastal erosion risk management strategy,Strategy for flooding and coastal change resilience,,,Archived,True,,,False,,,,,national-flood-and-coastal-erosion-risk-management-strategy,,,
National landslide database,Databse of reported landslide events,,,Archived,True,,,False,,,,,national-landslide-database,,,
Strategic industrial location (sil),"London’s largest concentrations of industrial, logistics and related capacity for uses that support the functioning of London’s economy",,288,Backlog,True,,,False,,,,,strategic-industrial-location,,,constraint;local plan;policies map
Possible special areas of conservation,Sites on which Government has initiated public consultation on the scientific case for designation as a Special Area of Conservation,SAC;pSAC,321,Backlog,True,,,False,,,,https://assets.publishing.service.gov.uk/media/67aafe8f3b41f783cca46251/NPPF_December_2024.pdf,possible-special-areas-of-conservation,,,bng;constraint;environmental;footnote 7
Greater london archaeological priority areas,Areas of Greater London where there is significant known archaeological interest or potential for new discoveries,,89,Co-design,True,1015,Quarterly,False,https://github.com/digital-land/specification/blob/main/content/dataset/archaeological-priority-area.md?plain=1,,"[{'link_url': 'https://historicengland.org.uk/services-skills/our-planning-services/greater-london-archaeology-advisory-service/greater-london-archaeological-priority-areas/', 'link_text': 'Historic England guidance'}]",,greater-london-archaeological-priority-areas,,,constraint;heritage;local plan;policies map
Nearby railway schemes,,,,Archived,True,,,False,,,,,nearby-railway-schemes,,,
Noise abatement,A set of strategies designed to reduce noise pollution,,,Archived,True,,,False,,,,,noise-abatement,,,
"Notices, Orders, Directions under Planning Acts",,,,Archived,True,,,False,,,,,notices-orders-directions-under-planning-acts,,,
National trust land,Land that is enclosed as part of a National Trust estate and public access is limited,,216,Backlog,True,,,False,,,,,national-trust-land,,,constraint;heritage;landscape
Probable coal mining,Locations and estimated extents of probable shallow coal mines for which no recorded plan exists,,,Archived,True,,,False,,,,,probable-coal-mining,,,
Protected sites (statutory sites),Sites that have protection through legislation in recognition of biodiversity and geological value,Protected land;SAC;SPA;Ramsar;Proposed Ramsar;SSSI;Marine Conservation Area;Local Nature Reserve;Local Wildlife SIte;National Parks and the Broads;AONB;Heritage Coast,,Archived,True,,,False,,,,,protected-sites,,,
Public health service delivery performance,,,,Archived,True,,,False,,,,,public-health-service-delivery-performance,,,
Public transport timetables,Information on timings of all forms of public transport,,,Archived,True,,,False,,,"[{'link_url': 'https://data.gov.uk/dataset/0447f8d9-8f1b-4a68-bbc8-246981d02256/traveline-national-dataset', 'link_text': 'National dataset documentation page'}]",,public-transport-timetables,,,
Rainfall data,Rainfall measurements across the UK,,,Archived,True,,,False,,,"[{'link_url': 'https://environment.data.gov.uk/flood-monitoring/doc/rainfall', 'link_text': 'National dataset documentation page'}]",,rainfall-data,,,
Recorded flood outlines,"Records of historic flooding from rivers, the sea, groundwater and surface water",,,Archived,True,,,False,,,,,recorded-flood-outlines,,,
Regional flood and coastal committees,Boundaries of the regional flood and coastal committees in England,,,Archived,True,,,False,,,,,regional-flood-and-coastal-committees,,,
Renewable energy planning database (REPD),Progress tracking of UK renewable electricity projects over 150kW,,,Archived,True,,,False,,,,,renewable-energy-planning-database,,,
National trust land – always open,National Trust land that the public has access to on foot only,,217,Backlog,True,,,False,,,,,national-trust-land-always-open,,,constraint;heritage;landscape
Priority river habitat - headwater areas,River and stream sources that exhibit a high degree of naturalness,,,Archived,True,,,False,,,,,priority-river-habitat-headwater-areas,,,
Priority river habitat - rivers,Rivers and streams that exhibit a high degree of naturalness,,,Archived,True,,,False,,,,,priority-river-habitat-rivers,,,
Retail opportunity areas,Appropriate areas for improvement for retail and regeneration ,,,Archived,True,,,False,,,,,retail-opportunity-areas,,,
Biodiversity net gain assessments,A biodiversity net gain assessment compares baseline conditions to post-development plans. Biodiversity net gain is achieved if the post-development plans provide a net improvement to the biodiversity of a site,,119,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/biodiversity-net-gain-assessment.md?plain=1,,,https://www.legislation.gov.uk/ukpga/2021/30/contents/enacted,biodiversity-net-gain-assessments,,,data;environmental
Risk of flooding from rivers and seas – postcodes,Postcodes where there is a chance of flooding from rivers and/or the sea,,,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/risk-of-flooding-from-rivers-and-sea-postcodes-in-areas-at-risk', 'link_text': 'National dataset documentation page'}]",,risk-of-flooding-from-rivers-and-seas-postcodes,,,
Risk of flooding from rivers and seas – properties,Properties where there is a chance of flooding from rivers and/or the sea,,,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/risk-of-flooding-from-rivers-and-sea-properties-in-areas-at-risk', 'link_text': 'National dataset documentation page'}]",,risk-of-flooding-from-rivers-and-seas-properties,,,
Risk of flooding from surface water,Areas where there is risk of flooding from excessive rainfall,,,Archived,True,,,False,,,"[{'link_url': 'https://data.gov.uk/dataset/95ea1c96-f3dd-4f92-b41f-ef21603a2802/risk-of-flooding-from-surface-water-extent-3-3-percent-annual-chance', 'link_text': 'National dataset documentation page'}]",,risk-of-flooding-from-surface-water,,,
Infrastructure funding statements,A summary of financial contributions councils have secured through section 106 agreements from new developments,IFS,53,On the platform,True,,Annually,False,https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-funding-statement.md?plain=1,https://digital-land.github.io/specification/specification/infrastructure-funding-statement/,,https://www.legislation.gov.uk/uksi/2010/948/contents,infrastructure-funding-statements,,,data;local plan
River corridor features,"Habitats, flow types and physical features of a watercourse",,,Archived,True,,,False,,,,,river-corridor-features,,,
"Roadways, footways and footpaths",,,,Archived,True,,,False,,,,,roadways-footways-and-footpaths,,,
Rocky shores,Seacoasts where solid rock predominates,,,Archived,True,,,False,,,,,rocky-shores,,,
Protected land,Sites with special status as protected areas because of their natural and cultural importance,Protected sites,235,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/protected-land.md?plain=1,,,,protected-land,,,constraint;local land charge
Section 73,Applications for planning permission to develop land without complying with previously imposed planning conditions,Planning application variance,,Archived,True,,,False,,,,,section-73,,,
Secondary schools,Secondary education for children from 11 to 16,,,Archived,True,,,False,,,,,secondary-schools,,,
Shallow coal mine workings,Shallow coal mine workings are derived from the Coal Authority’s records of underground coal mine workings,,,Archived,True,,,False,,,,,shallow-coal-mine-workings,,,
SOBI (Single Onshore Boreholes Index),"Records of boreholes, shafts and wells from all forms of drilling and site investigation work ",,,Archived,True,,,False,,,,,sobi,,,
Soil parent material model,Characteristics of the upper 2–3 m of the geology beneath our feet,,,Archived,True,,,False,,,,,soil-parent-material-model,,,
Soil type,Soil landscapes of England and Wales,,,Archived,True,,,False,,,,,soil-type,,,
Religious buildings,Structures created for worship,,64,Backlog,True,,,False,,,,,religious-buildings,,,constraint;heritage;local plan;pdr
Tennis courts,Courts or areas with a net across the middle used for playing tennis,,64,Co-design,True,,Every 6 months,False,,,,,tennis-courts,,,amenity;leisure;local plan
Uk airport data,The presence of passenger and cargo airports in the UK.,,268,Backlog,True,,,False,,,,,uk-airport-data,,,connectivity;constraint;policies map
TOID,A unique reference identifier assigned by Ordnance Survey to identify every topographical feature ,,,Archived,True,,,False,,,"[{'link_url': 'https://osdatahub.os.uk/downloads/open/OpenTOID', 'link_text': 'National dataset documentation page'}]",,toid,,,
Unitary authority,Where county and district councils in ‘two-tier’ areas are replaced with a single tier of ‘unitary’ authorities responsible for all functions of county and district councils,,269,Backlog,True,,,False,,,,,unitary-authority,,,boundary;local plan
Traffic schemes,Scheme to reduce motor vehicle traffic in residential streets,,,Archived,True,,,False,,,,,traffic-schemes,,,
Transaction data,Records of land transactions,,,Archived,True,,,False,,,"[{'link_url': 'https://www.gov.uk/guidance/hm-land-registry-transaction-data', 'link_text': 'National dataset documentation page'}]",,transaction-data,,,
Traveline national dataset,"Public transport timetables for bus, light rail, tram and ferry services",,,Archived,True,,,False,,,,,traveline-national-dataset,,,
UK house price data,Changes in the value of residential properties,,,Archived,True,,,False,,,"[{'link_url': 'https://www.gov.uk/government/collections/uk-house-price-index-reports#about-the-uk-hpi', 'link_text': 'National dataset documentation page'}]",,uk-house-price-data,,,
Urban development area,"Comprising residential, growth zones, commercial, industrial, public-use, and mixed-use zones",,,Archived,True,,,False,,,,,urban-development-area,,,
Vertical aerial photography,Airborne mapping technique,,,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/vertical-aerial-photography', 'link_text': 'National dataset documentation page'}]",,vertical-aerial-photography,,,
Waterside regeneration zones,Regeneration areas to make the most of waterways ,,,Archived,True,,,False,,,,,waterside-regeneration-zones,,,
Weather forecasting,"A prediction of what the weather will be like in an hour, tomorrow, or further in the future",,,Archived,True,,,False,,,"[{'link_url': 'https://www.metoffice.gov.uk/services/data/datapoint', 'link_text': 'National dataset documentation page'}]",,weather-forecasting,,,
Wellmaster hydrogeological database index,Information on water wells and boreholes,Borehole scans,,Archived,True,,,False,,,,,wellmaster-hydrogeological-database-index,,,
Flood risk zones 2,An area with between 0.1% (1 in 1000) and 1% (1 in 100) chance of flooding from rivers or between 0.1% (1 in 1000) and 0.5% (1 in 200) chance of flooding from the sea,,46,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-zone-2', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://environment.data.gov.uk/arcgis/rest/services/EA/FloodMapForPlanningRiversAndSeaFloodZone2/MapServer/0', 'link_text': 'URL of national dataset'}]",,flood-risk-zones-2,,,
Use class,Legal framework which determines what a particular property may be used for by its lawful occupants,,270,Backlog,True,,,False,,,,,use-class,,,data;opportunity
Waste and recycling facilities,"Specialist locations where waste is taken to be sorted, separated, and recycled",,271,Backlog,True,,,False,,,,,waste-and-recycling-facilities,,,amenity;local plan
Biosphere reserves,Areas where local people model how we can live with nature and use its resources sustainably. They are designated by UNESCO (United Nations Educational Scientific and Cultural Organisation),,120,Backlog,True,,,False,,,,,biosphere-reserves,,,constraint;environmental
Land required for public purpose,Land reserved for a public purpose under a planning scheme,,193,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1990/8/contents,land-required-for-public-purpose,,,constraint;safeguarded land
National grid cables,Locations of national electricity transmission network cables,,79,Screen,True,,,False,,,"[{'link_url': 'https://www.nationalgridet.com/network-and-assets/network-route-maps', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://www.nationalgrid.com/electricity-transmission/network-and-infrastructure/network-route-maps', 'link_text': 'National Grid - Network Route Maps website'}]",,national-grid-cables,Restrictive Licence,,energy;infrastructure;licensing restriction
Local nature recovery strategy,Locations to create or improve habitat most likely to provide the greatest benefit for nature and the wider environment,,207,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/local-nature-recovery-strategy.md?plain=1,,,https://www.legislation.gov.uk/uksi/2023/341/made,local-nature-recovery-strategy,,,bng;constraint;environmental;local plan
Area of archaeological importance,Areas designated to protect archaeological remains from being damaged or destroyed,,110,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1979/46,area-of-archaeological-importance,,,constraint;heritage;local plan;policies map
Broadband speed,Coverage of broadband availability,,123,Backlog,True,,,False,,,,https://www.legislation.gov.uk/uksi/2018/445/contents/made,broadband-speed,,,amenity;infrastructure;nist
Protected rural landscapes,,Historic rural landscapes,236,Backlog,True,,,False,,,,,protected-rural-landscapes,,,constraint;landscape
Local development order,Local development orders (LDOs) provide permitted development rights for specified types of development in defined locations.,,62,Research,True,,,False,,,"[{'link_url': 'https://www.savills.co.uk/blog/article/351131/residential-property/in-plain-english--what-is-a-local-development-order-.aspx', 'link_text': 'What is a local development order'}]",https://www.legislation.gov.uk/ukpga/2004/5/contents,local-development-order,,,local plan
Area of deficiency in access to public open space,Areas over specific walking distance from each of the categories of public open space as set out within the London Plan,,112,Backlog,True,,,False,,,,https://www.london.gov.uk/sites/default/files/the_london_plan_2021.pdf,area-of-deficiency-in-access-to-public-open-space,,,local information;local plan
Border,The boundary of England as provided by the ONS for the purposes of producing statistics.,,65,On the platform,True,1,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/border.md?plain=1,,,,border,,,boundary
Green space,Places that are intentionally not developed,,64,Backlog,True,,,False,,,"[{'link_url': 'https://www.ordnancesurvey.co.uk/business-government/products/open-map-greenspace', 'link_text': 'National dataset documentation page'}]",,open-green-space,,,amenity;constraint;local plan
Biodiversity net gain,Biodiversity net gain (BNG) is a strategy to develop land and contribute to the recovery of nature. It's a way of making sure the habitat for wildlife is in a better state than it was before development,,118,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/2021/30/contents/enacted,biodiversity-net-gain,,,bng;environmental;local plan
Coal authority risk area,Areas which contain recorded features which could cause risk from the legacy of coal mining operations,Development risk and coal resource areas,127,Backlog,True,,,False,,,,,coal-authority-risk-area,,,constraint;development risk
Early years provision,"Education and childcare provision for children under 5 through nurseries, private, voluntary and independent (PVI) providers, including childminders",,152,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/2016/5/enacted,early-years-provision,,,amenity;connectivity;local plan
Gas pipeline,"Gas pipelines are wide-diameter, long-distance pipelines that transport natural gas from the producing and processing areas to storage facilities and distribution centres",,166,Backlog,True,,,False,,,,https://www.legislation.gov.uk/uksi/1996/825/contents/made,gas-pipeline,,,constraint;development risk;infrastructure;local land charge
Gas pipeline zones,"Zones which require proper selection and installation of apparatus to be used safely in that environment,because of the properties of the flammable gas present - classified as inner, middle and outer zones",,167,Backlog,True,,,False,,,,,gas-pipeline-zones,,,constraint;development risk;infrastructure
Protected species,"Threatened, vulnerable or endangered species which are protected from extinction",,237,Backlog,True,,,False,,,,,protected-species,,,bng;constraint;environmental
Public paths byways,Tracks and paths open to the public,,239,Backlog,True,,,False,,,,,public-paths-byways,,,connectivity;constraint;infrastructure;local land charge
Area habitats,Habitats recorded in the biodiversity metric tool in area (hectares) used to calculate BNG.,,109,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/2021/30/part/6/enacted,area-habitats,,,bng;environmental
Land registry polygons / red line boundaries,The indicative shapes and positions of each boundary of registered titles for land and property,Land ownership boundary;Land Registry Parcels;INSPIRE Index Polygons;Land Registry Cadastral Parcels;Title boundaries;Title extent,49,On the platform,True,,Monthly,False,https://github.com/digital-land/specification/blob/main/content/dataset/title-boundary.md?plain=1,,"[{'link_url': 'https://docs.google.com/document/d/1iGOw61rjvFIqZHR8RzL6yGXcjs0EYHQdHNEANUdF3Jc/edit', 'link_text': 'Fact sheet url'}]",,land-registry-polygons-red-line-boundaries,,,boundary
Non designated and locally listed historic assets,,,,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/non-designated-and-locally-listed-historic-asset.md?plain=1,,,,non-designated-and-locally-listed-historic-assets,,,
Coastal change management areas,Areas identified as likely to be affected by physical change to the shoreline through erosion,,130,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/coastal-change-management-area.md?plain=1,,,https://www.gov.uk/guidance/flood-risk-and-coastal-change,coastal-change-management-areas,,,constraint;development risk
Safeguarded aerodromes,"Areas designed to protect aircraft from obstacles when manoeuvring on the ground, taking off, landing or flying in the vicinity of the aerodrome",Safeguarded military explosives site,,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/safeguarded-aerodrome.md?plain=1,,,,safeguarded-aerodromes,,,
Completion notices,Documents that set a date when work on a new building or conversion should be complete,,135,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/2003/26/contents,completion-notices,,,planning permission
Neighbourhood plans,"A plan prepared by a parish council or neighbourhood forum for a designated neighbourhood area, giving communities direct power to shape the development and growth of their local area",Faster local plans,37,Backlog,True,,,False,,,,,neighbourhood-plans,,,local plan
Housing and economic land availability assessment (helaa),,SHELAA;SHLAA,184,Backlog,True,,,False,,,"[{'link_url': 'https://www.gov.uk/guidance/housing-and-economic-land-availability-assessment', 'link_text': 'Guidance'}]",,housing-and-economic-land-availability-assessment,,,housing supply and delivery;local plan
Local green space,"Protected green areas demonstrably special to the local community, whether in a village or in a neighbourhood in a town or city",,203,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/local-green-space.md?plain=1,,,,local-green-space,,,amenity;community;constraint;footnote 7;landscape;local plan;policies map
London squares,"Protected squares in London that should only be used as ornamental gardens, pleasure grounds or for play, rest or recreation",,,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/london-square.md?plain=1,,,,london-squares,,,
Local area requirements,Requirements (sometimes known as validation checklists) that set out supporting information which applicants need to include with a planning application,Local validation checklist,52,Test and iterate,True,350,Annually,False,https://github.com/digital-land/specification/blob/main/content/dataset/local-area-requirements.md?plain=1,,"[{'link_url': 'https://docs.google.com/document/d/1MGkEfDDjKrT17b-QSzwZffiOgKKQyWUrn9GufbpYZsc/edit?usp=sharing', 'link_text': 'Original screening document'}]",,local-area-requirements,,,planning permission
Environmental pollution incidents,"Events that may cause harm or potential harm to an environmental aspect (air, water, land, wildlife or local habitat)",,,Archived,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1990/43/contents,environmental-pollution-incidents,,,
Housing waiting list,A waiting list of people who qualify for social housing,,,Archived,True,,,False,,,,,housing-waiting-list,,,
Assets of community value,Buildings or pieces of land that are used for the social wellbeing and interests of the local community,ACV,100,Co-design,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/asset-of-community-value.md?plain=1,,"[{'link_url': 'https://www.camden.gov.uk/assets-of-community-value#dfmo', 'link_text': 'Camden guidance on ACVs'}]",https://www.legislation.gov.uk/uksi/2012/2421/contents/made,assets-of-community-value,,,community;constraint;local land charge
Compulsory purchase orders,Orders that allow a public authority to acquire land without the consent of the owner,,136,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1965/56/contents,compulsory-purchase-orders,,,local information;local land charge
Land maintenance notice,"A notice served when the condition of land is having an
adverse effect on a neighbourhood",,192,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1990/8/contents,land-maintenance-notice,,,local information
Opencast coal prospecting areas,Areas of opencast coal prospecting sites.,,223,Backlog,True,,,False,,,,,opencast-coal-prospecting-areas,,,constraint;development risk;local land charge
National parks and the broads,A large area of land protected by law for the benefit of the nation,Protected sites,300,On the platform,True,,Unknown,False,https://github.com/digital-land/specification/blob/main/content/dataset/national-park.md?plain=1,,,,national-parks-and-the-broads,,,constraint;footnote 7;landscape;local plan
Community infrastructure levy (cil),The Community Infrastructure Levy (CIL) is a charge which can be levied by local authorities on new development. It only applies in areas where a local authority has consulted on and approved a charging schedule which sets out those charges,CIL;CIL charging zones;CIL rates;CIL index,99,Co-design,True,,,True,,,,https://www.legislation.gov.uk/uksi/2010/948/contents/made,community-infrastructure-levy,,,levy;local information;local plan;policies map
Ancient woodlands,Areas that have been wooded continuously since at least 1600 AD,,32,On the platform,True,53636,Monthly,False,https://github.com/digital-land/specification/blob/main/content/dataset/ancient-woodland.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/ancient-woodland-status.md,,"[{'link_url': 'https://data.gov.uk/dataset/9461f463-c363-4309-ae77-fdcd7e9df7d3/ancient-woodland-england', 'link_text': 'National dataset documentation page'}, {'link_url': 'https://opendata.arcgis.com/datasets/a14064ca50e242c4a92d020764a6d9df_0.geojson', 'link_text': 'URL of national dataset'}]",,ancient-woodlands,,,constraint;environmental;footnote 7;local plan;policies map
Irreplaceable habitats,"Habitats that could not be recreated if damaged, such as ancient woodland, ancient and veteran trees, blanket bog, limestone pavement, sand dunes, salt marsh and lowland fens",,190,Backlog,True,,,False,,,,https://www.legislation.gov.uk/uksi/2024/48/contents/made,irreplaceable-habitats,,,bng;constraint;environmental;footnote 7;local plan
Opportunity areas,"London’s principal opportunities for accommodating large scale development to provide substantial numbers of new employment and housing, each typically more than 5,000 jobs and/or 2,500 homes, with a mixed and intensive use of land and assisted by good public transport accessibility. As set out within the London Plan (2021).",,224,Backlog,True,,,False,,,,,opportunity-areas,,,connectivity;local plan;opportunity;policies map
Casi and lidar habitat,"A habitat map derived from airborne data, specifically CASI and LIDAR data. The habitat map is a polygon shapefile showing site relevant habitat classes, for sites where data is available.",LiDAR habitat,76,Co-design,True,,Annually,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/casi-and-lidar-habitat-map', 'link_text': 'National dataset documentation page'}]",,casi-and-lidar-habitat,,,bng;defra - national;environmental
Important bird areas,Areas identified as being globally important for the conservation of bird populations,,66,Research,True,,,False,,,"[{'link_url': 'https://opendata-rspb.opendata.arcgis.com/datasets/c38f60f68f094f269d90db26b1381837_0', 'link_text': 'National dataset documentation page'}]",,important-bird-areas,Restrictive Licence,,constraint;environmental;licensing restriction
Local flood data,,,58,Screen,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/1GJdkEbpLlfcB9AbBfLcDgkvFMxs7kPrtc_y_mxOby-I/edit', 'link_text': 'Fact sheet url'}]",,local-flood-data,,,constraint;environmental;local plan
Local plan consultations and representations,,,57,Screen,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/e/2PACX-1vRCXOwsr8gCoUNf3AHVebkQNRkwzVijL7JNeJa-QwdULLGXVMZUs9rk8mxZIV8oQ-o9Z2vG9OilBV-M/pub', 'link_text': 'Original screening document'}]",https://www.legislation.gov.uk/uksi/2012/767/contents/made,local-plan-consultations-and-representations,,,local plan
Smoke control area,"Areas where:
- you cannot release smoke from a chimney
- you can only burn authorised fuel, unless you use an appliance approved by Defra",Smoke control order,86,Research,True,,,False,,,"[{'link_url': 'https://uk-air.defra.gov.uk/data/sca/', 'link_text': 'National dataset documentation page'}]",,smoke-control-area,Unclear licensing - needs clarification with Defra / Ordnance Survey,,constraint;environmental;licensing restriction;local land charge;local plan
3g/ 4g/ 5g coverage,Coverage of mobile phone networks,,104,Backlog,True,,,False,,,,https://bills.parliament.uk/bills/3569,3g-4g-5g-coverage,,,infrastructure;nist
